日期,开盘,收盘,最高,最低,成交量
2025-03-03,12.3,12.18,12.45,12.06,7019500.0
2025-03-04,12.12,12.28,12.3,11.92,6093317.0
2025-03-05,12.25,12.18,12.3,11.88,6963300.0
2025-03-06,12.25,12.65,12.76,12.18,11061500.0
2025-03-07,12.54,12.24,12.61,12.17,8663200.0
2025-03-10,12.25,12.15,12.25,12.06,4915400.0
2025-03-11,12.15,12.23,12.25,11.96,4841700.0
2025-03-12,12.31,12.25,12.35,12.17,5022200.0
2025-03-13,12.24,12.02,12.24,11.85,5491633.0
2025-03-14,12.03,12.26,12.27,11.9,6365000.0
2025-03-17,12.35,12.43,12.67,12.35,9584800.0
2025-03-18,12.43,12.22,12.43,12.17,6047100.0
2025-03-19,12.21,12.0,12.21,11.96,5128100.0
2025-03-20,11.99,11.96,12.09,11.88,4039400.0
2025-03-21,11.95,11.65,11.96,11.6,4874932.0
2025-03-24,11.13,10.5,11.21,10.49,15188900.0
2025-03-25,10.4,10.25,10.43,10.04,9250500.0
2025-03-26,10.24,10.36,10.37,10.14,4815700.0
2025-03-27,10.36,10.17,10.4,10.01,4839000.0
2025-03-28,10.2,10.0,10.25,9.96,4398800.0
2025-03-31,9.88,9.74,9.97,9.57,5423500.0
2025-04-01,9.89,10.1,10.3,9.85,6704100.0
2025-04-02,10.03,9.95,10.17,9.91,3922000.0
2025-04-03,9.91,9.82,9.96,9.75,3474900.0
2025-04-07,9.32,8.84,9.32,8.84,2455400.0
2025-04-08,8.49,8.66,9.0,8.35,6976800.0
2025-04-09,8.59,8.88,8.93,7.8,7335400.0
2025-04-10,8.91,9.12,9.3,8.91,6545600.0
2025-04-11,9.2,9.15,9.23,9.04,4145900.0
2025-04-14,9.2,9.33,9.36,9.2,4060700.0
2025-04-15,9.35,10.26,10.26,9.35,14420700.0
2025-04-16,10.15,9.74,10.15,9.58,15531400.0
2025-04-17,9.69,10.28,10.31,9.61,14450270.0
2025-04-18,10.18,9.95,10.27,9.73,10392450.0
2025-04-21,9.01,9.47,9.55,9.01,10690903.0
2025-04-22,9.23,9.1,9.4,9.06,8249733.0
2025-04-23,9.16,9.05,9.24,9.05,5819672.0
2025-04-24,9.0,8.71,9.04,8.6,6473550.0
2025-04-25,8.71,8.74,8.85,8.68,3866651.0
2025-04-28,8.68,8.39,8.68,8.26,6596000.0
2025-04-29,8.39,8.39,8.39,8.39,
2025-04-30,7.97,7.97,7.97,7.97,144100.0
2025-05-06,7.57,7.57,7.57,7.57,918100.0
2025-05-07,7.19,7.73,7.9,7.19,29112498.0
2025-05-08,7.5,7.49,7.82,7.37,16406632.0
2025-05-09,7.57,7.73,7.86,7.56,15854920.0
2025-05-12,7.8,8.12,8.12,7.8,8486801.0
2025-05-13,8.46,8.53,8.53,8.19,14644832.0
2025-05-14,8.76,8.48,8.95,8.32,14758951.0
2025-05-15,8.65,8.7,8.9,8.5,13892601.0
2025-05-16,8.6,8.27,8.74,8.27,16492251.0
2025-05-19,8.45,8.59,8.66,8.3,10474000.0
2025-05-20,8.7,9.02,9.02,8.66,12233860.0
2025-05-21,9.0,9.47,9.47,8.88,12509964.0
2025-05-22,9.59,9.4,9.9,9.14,13294419.0
2025-05-23,9.51,9.09,9.53,8.96,10103800.0
2025-05-26,9.08,9.54,9.54,9.08,7510468.0
2025-05-27,9.84,10.02,10.02,9.68,8436000.0
2025-05-28,10.15,9.94,10.52,9.73,13568600.0
2025-05-29,10.1,9.89,10.36,9.81,9580100.0
2025-05-30,9.59,10.38,10.38,9.59,12161216.0
2025-06-03,10.25,10.26,10.7,10.13,9258216.0
2025-06-04,10.18,10.12,10.4,10.0,7046216.0
2025-06-05,10.1,9.86,10.25,9.74,7217400.0
2025-06-06,9.86,9.89,10.02,9.75,5555530.0
2025-06-09,9.9,9.96,10.15,9.74,6638100.0
2025-06-10,9.9,9.82,10.05,9.67,9551498.0
2025-06-11,9.83,10.1,10.11,9.81,6384200.0
2025-06-12,10.1,9.8,10.19,9.72,7671200.0
2025-06-13,9.75,9.31,9.8,9.31,8125751.0
2025-06-16,9.2,9.5,9.55,9.2,4531800.0
2025-06-17,9.44,9.42,9.62,9.33,3521300.0
2025-06-18,9.4,9.2,9.41,9.08,4791101.0
2025-06-19,9.18,8.9,9.3,8.85,4722200.0
2025-06-20,8.92,8.57,8.97,8.52,4151000.0
2025-06-23,8.55,8.75,8.84,8.4,3895007.0
2025-06-24,8.8,8.97,9.15,8.75,3614100.0
2025-06-25,9.05,8.8,9.05,8.72,3394800.0
2025-06-26,8.78,8.75,8.87,8.72,2680300.0
2025-06-27,8.76,8.67,8.81,8.65,3556700.0
2025-06-30,8.63,8.85,8.92,8.63,4636701.0
2025-07-01,8.85,9.01,9.03,8.8,3931000.0
2025-07-02,9.03,8.9,9.05,8.82,3719800.0
2025-07-03,8.91,8.95,9.07,8.86,3066900.0
2025-07-04,8.89,8.77,8.99,8.75,3379400.0
2025-07-07,8.8,9.21,9.21,8.8,8422900.0
2025-07-08,9.22,9.35,9.44,9.1,8183400.0
2025-07-09,9.4,9.19,9.4,9.16,3803165.0
2025-07-10,9.24,9.2,9.3,9.11,3411400.0
2025-07-11,9.17,9.11,9.19,9.03,3579500.0
2025-07-14,9.04,8.86,9.1,8.78,4820200.0
2025-07-15,8.8,8.72,8.93,8.56,4162200.0
2025-07-16,8.78,8.83,8.94,8.7,3811400.0
2025-07-17,8.86,8.86,8.86,8.65,2822300.0
2025-07-18,8.83,8.83,8.97,8.81,2561200.0
2025-07-21,8.78,8.81,8.87,8.76,3287800.0
2025-07-22,8.81,8.64,8.81,8.63,3516601.0
2025-07-23,8.64,8.57,8.64,8.56,2579972.0
2025-07-24,8.55,8.61,8.65,8.52,2014400.0
2025-07-25,8.7,8.73,8.89,8.69,4313300.0
2025-07-28,8.74,8.83,8.85,8.69,3186429.0
2025-07-29,8.81,8.8,8.83,8.73,1981400.0
2025-07-30,8.78,8.82,9.07,8.75,3441138.0
2025-07-31,8.82,8.78,8.89,8.63,3235851.0
2025-08-01,8.71,8.87,8.89,8.65,2874400.0
2025-08-04,8.87,8.93,8.94,8.79,2785200.0
2025-08-05,8.94,9.15,9.26,8.89,5183210.0
2025-08-06,9.12,9.08,9.16,8.97,3291609.0
2025-08-07,9.09,9.02,9.17,9.0,3027300.0
2025-08-08,9.06,8.94,9.11,8.87,3886357.0
2025-08-11,8.97,8.94,9.01,8.9,2840600.0
2025-08-12,8.96,9.14,9.14,8.91,4350901.0
2025-08-13,9.15,9.04,9.21,9.03,3255101.0
2025-08-14,9.04,8.78,9.06,8.78,3760701.0
2025-08-15,8.78,9.22,9.22,8.78,4936773.0
2025-08-18,9.32,9.41,9.63,9.25,9054101.0
2025-08-19,9.57,9.6,9.65,9.41,4786300.0
2025-08-20,9.55,9.68,9.68,9.43,4166091.0
2025-08-21,9.75,10.16,10.16,9.75,5668309.0
2025-08-22,10.28,10.19,10.35,9.89,8766510.0
2025-08-25,10.64,10.24,10.69,10.13,11412876.0
2025-08-26,10.14,10.75,10.75,10.14,8784202.0
2025-08-27,11.29,11.29,11.29,11.29,2523470.0
2025-08-28,11.85,11.82,11.85,11.2,17381117.0
2025-08-29,11.8,11.31,11.85,11.23,12206207.0
2025-09-01,11.39,11.08,11.88,11.02,9529300.0
2025-09-02,10.86,10.53,10.99,10.53,6069000.0
2025-09-03,10.73,10.45,10.88,10.26,8566975.0
2025-09-04,10.39,10.3,10.65,10.08,6399607.0
2025-09-05,10.3,10.37,10.5,9.95,5957200.0
2025-09-08,10.31,10.61,10.86,10.31,6438000.0
2025-09-09,10.62,10.43,10.71,10.4,4355200.0
2025-09-10,10.43,10.66,10.79,10.43,4323510.0
2025-09-11,10.66,10.76,10.99,10.54,4796100.0
2025-09-12,10.8,10.47,10.89,10.38,6465700.0
2025-09-15,10.53,10.73,10.79,10.5,5274343.0
2025-09-16,10.62,11.27,11.27,10.62,4847230.0
2025-09-17,11.59,11.31,11.83,11.21,10659438.0
2025-09-18,11.43,10.82,11.49,10.74,9365624.0
2025-09-19,10.77,10.93,11.3,10.46,8514536.0
2025-09-22,10.91,10.56,10.91,10.42,5116991.0
2025-09-23,10.48,10.21,10.5,10.03,5150320.0
2025-09-24,10.52,10.65,10.72,10.38,8061128.0
2025-09-25,10.45,10.48,10.55,10.22,6061538.0
2025-09-26,10.45,10.48,10.54,10.12,4522238.0
2025-09-29,10.45,10.59,10.74,10.23,4074700.0
2025-09-30,11.12,11.12,11.12,11.12,1067332.0
2025-10-09,11.68,11.68,11.68,11.68,818700.0
2025-10-10,11.8,12.26,12.26,11.69,16258195.0
2025-10-13,12.2,12.87,12.87,11.84,6282918.0
2025-10-14,13.51,13.35,13.51,12.82,14148703.0
2025-10-15,13.33,12.87,13.89,12.71,14170300.0
2025-10-16,12.66,12.88,13.25,12.63,10670600.0
2025-10-17,12.61,12.24,12.79,12.24,8872100.0
2025-10-20,12.43,12.85,12.85,12.4,5804801.0
2025-10-21,13.23,12.87,13.47,12.74,9087000.0
2025-10-22,12.98,13.14,13.2,12.78,6053980.0
2025-10-23,13.4,13.8,13.8,13.1,11007971.0
2025-10-24,13.8,13.44,13.98,13.25,10841364.0
2025-10-27,13.4,13.36,13.55,13.12,6592878.0
2025-10-28,13.3,12.77,13.3,12.7,9669426.0
2025-10-29,12.73,12.61,13.01,12.48,4929600.0
2025-10-30,12.61,12.65,13.24,12.52,8023786.0
2025-10-31,12.02,12.28,12.41,12.02,10192157.0
2025-11-03,12.26,12.89,12.89,12.03,9342065.0
2025-11-04,13.0,12.88,13.2,12.7,8588300.0
2025-11-05,13.2,13.33,13.52,12.95,12939864.0
2025-11-06,12.95,12.66,13.0,12.66,6298963.0
2025-11-07,12.22,12.43,12.64,12.06,8877765.0
2025-11-10,12.43,11.98,12.48,11.84,8696827.0
2025-11-11,12.04,11.97,12.1,11.78,4846800.0
2025-11-12,11.9,11.94,11.96,11.47,6435542.0
2025-11-13,11.81,11.5,11.89,11.45,6460600.0
2025-11-14,11.46,11.61,11.77,11.41,4313600.0
2025-11-17,11.71,11.35,11.73,11.18,5416600.0
2025-11-18,11.45,11.64,11.92,11.45,8291772.0
2025-11-19,11.46,11.18,11.46,11.07,5841937.0
2025-11-20,11.09,11.09,11.18,10.86,3876072.0
2025-11-21,10.95,10.54,10.99,10.54,5388700.0
