symbol,name,display
000001,平安银行,平安银行 (000001)
000002,万  科Ａ,万  科Ａ (000002)
000004,*ST国华,*ST国华 (000004)
000006,深振业Ａ,深振业Ａ (000006)
000007,全新好,全新好 (000007)
000008,神州高铁,神州高铁 (000008)
000009,中国宝安,中国宝安 (000009)
000010,美丽生态,美丽生态 (000010)
000011,深物业A,深物业A (000011)
000012,南  玻Ａ,南  玻Ａ (000012)
000014,沙河股份,沙河股份 (000014)
000016,深康佳Ａ,深康佳Ａ (000016)
000017,深中华A,深中华A (000017)
000019,深粮控股,深粮控股 (000019)
000020,深华发Ａ,深华发Ａ (000020)
000021,深科技,深科技 (000021)
000025,特  力Ａ,特  力Ａ (000025)
000026,飞亚达,飞亚达 (000026)
000027,深圳能源,深圳能源 (000027)
000028,国药一致,国药一致 (000028)
000029,深深房Ａ,深深房Ａ (000029)
000030,富奥股份,富奥股份 (000030)
000031,大悦城,大悦城 (000031)
000032,深桑达Ａ,深桑达Ａ (000032)
000034,神州数码,神州数码 (000034)
000035,中国天楹,中国天楹 (000035)
000036,华联控股,华联控股 (000036)
000037,深南电A,深南电A (000037)
000039,中集集团,中集集团 (000039)
000042,中洲控股,中洲控股 (000042)
000045,深纺织Ａ,深纺织Ａ (000045)
000048,京基智农,京基智农 (000048)
000049,德赛电池,德赛电池 (000049)
000050,深天马Ａ,深天马Ａ (000050)
000055,方大集团,方大集团 (000055)
000056,皇庭国际,皇庭国际 (000056)
000058,深 赛 格,深 赛 格 (000058)
000059,华锦股份,华锦股份 (000059)
000060,中金岭南,中金岭南 (000060)
000061,农 产 品,农 产 品 (000061)
000062,深圳华强,深圳华强 (000062)
000063,中兴通讯,中兴通讯 (000063)
000065,北方国际,北方国际 (000065)
000066,中国长城,中国长城 (000066)
000068,华控赛格,华控赛格 (000068)
000069,华侨城Ａ,华侨城Ａ (000069)
000070,特发信息,特发信息 (000070)
000078,海王生物,海王生物 (000078)
000088,盐 田 港,盐 田 港 (000088)
000089,深圳机场,深圳机场 (000089)
000090,天健集团,天健集团 (000090)
000096,广聚能源,广聚能源 (000096)
000099,中信海直,中信海直 (000099)
000100,TCL科技,TCL科技 (000100)
000151,中成股份,中成股份 (000151)
000153,丰原药业,丰原药业 (000153)
000155,川能动力,川能动力 (000155)
000156,华数传媒,华数传媒 (000156)
000157,中联重科,中联重科 (000157)
000158,常山北明,常山北明 (000158)
000159,国际实业,国际实业 (000159)
000166,申万宏源,申万宏源 (000166)
000301,东方盛虹,东方盛虹 (000301)
